Country,Eigencentrality
Afghanistan,0.9135325313
Albania,0.9361471443
Angola,0.9531312928
Argentina,0.999181355
Australia,0.9852776423
Austria,0.9776187335
Bahrain,0.9573777857
Bangladesh,0.9573777857
Barbados,0.6422059989
Belgium,0.9956474815
Belize,0.398432067
Benin,0.9812654252
Bolivia,0.999181355
Botswana,0.8482985796
Brazil,0.9956474815
Bulgaria,0.9956474815
Burundi,0.9309554108
Cameroon,0.5802101133
Canada,0.9946929238
Chile,0.999181355
China,0.9515784143
Colombia,0.999181355
CongoDemRep,0.8032852858
CongoRep,0.9380052653
CostaRica,0.999181355
CotedIvoire,0.7051765114
Cuba,0.9776919773
Cyprus,0.9776187335
Denmark,0.999181355
DominicanRepublic,0.9776187335
Ecuador,0.9956474815
EgyptArabRep,0.9531312928
ElSalvador,0.9776187335
Ethiopia,0.9637882646
Fiji,0.9593653809
Finland,0.9897660734
France,0.999181355
GambiaThe,0.9180846431
Germany,1
Ghana,0.9756193102
Greece,0.999181355
Grenada,0.8679262319
Guatemala,0.9776187335
GuineaBissau,0.9582447831
Guyana,0.961734115
Haiti,0.9776187335
Honduras,0.9776187335
Hungary,0.999181355
Iceland,0.9566651663
India,0.9817437688
Indonesia,0.9776919773
IranIslamicRep,0.9637882646
Iraq,0.933148676
Ireland,0.9956474815
Israel,0.9566651663
Italy,0.999181355
Jamaica,0.9566651663
Japan,0.9852776423
Jordan,0.9573777857
Kenya,0.5858631568
KoreaDemPeoplesRep,0.9135325313
KoreaRep,0.8751354359
Kuwait,0.9135325313
LaoPDR,0.9573777857
Lebanon,0.9904874857
Liberia,0.08468909263
Libya,0.9135325313
Liechtenstein,0.868257614
Luxembourg,0.9956474815
Madagascar,0.97408486
Malaysia,0.8625913904
Malta,0.9776187335
Mauritius,0.9964661266
Mexico,0.9521034809
Mongolia,0.9852776423
Morocco,0.9753332899
Mozambique,0.9135325313
Myanmar,0.6418780391
Nepal,0.9852776423
Netherlands,0.9697830687
NewZealand,1
Nicaragua,0.9776187335
Nigeria,0.9657230654
Norway,0.999181355
Oman,0.9573777857
Pakistan,0.9753332899
Panama,0.9776187335
Paraguay,0.9956474815
Peru,0.9956474815
Philippines,0.9956474815
Poland,0.999181355
Portugal,0.999181355
PuertoRico,0.9532964699
Romania,0.999181355
RussianFederation,0.7299395317
SanMarino,0.9497625964
SaoTomeandPrincipe,0.9135325313
SaudiArabia,0.9573777857
Senegal,0.9514547941
Serbia,0.9230741749
Seychelles,0.9355075226
SierraLeone,0.9643926308
Singapore,0.6110830295
Somalia,0.9135325313
SouthAfrica,0.9609116591
Spain,0.999181355
SriLanka,0.9573777857
Sudan,0.9135325313
Suriname,0.900560284
Sweden,1
Switzerland,0.9956474815
SyrianArabRepublic,0.933148676
Tanzania,0.9244951221
Thailand,0.6110830295
TrinidadandTobago,0.4868064384
Tunisia,0.6959150295
Turkey,0.9738577939
Uganda,0.5082169007
UnitedKingdom,0.9852776423
UnitedStates,0.9955115689
Uruguay,0.999181355
VenezuelaRB,0.9956474815
Vietnam,0.939522018
Zimbabwe,0.9531312928
